danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode
0.692,0.63,C#,-11.612,major,0.0442,0.2,6.38e-6,0.604,0.932,128.965,0BfNCyrqzahYEjBCJsVNx9,196680,4,C# major
0.546,0.64,C,-8.892,major,0.047,0.159,0,0.324,0.708,134.086,06aeOqCbOU6BTRmOiwmuOQ,174933,4,C major
0.325,0.639,E,-7.932,minor,0.0352,0.00624,0.141,0.158,0.597,78.476,47zSM6KiNnhKsGlVBNYu1l,152360,4,E minor
0.65,0.437,C,-11.776,major,0.0312,0.0735,0.848,0.187,0.428,115.016,0MmSBxJR6FQ8QYt0oVvB5Y,174185,4,C major
0.573,0.553,C,-10.253,major,0.0374,0.387,0,0.326,0.57,108.482,0af2aHFM6l1uLqMJqBD42m,15e4,4,C major
0.705,0.382,G#,-10.856,major,0.0475,0.849,0,0.0367,0.872,106.666,3ZIWniZzllHIeyLxOtUEwt,136947,4,G# major
0.41,0.853,A#,-4.414,major,0.0537,0.587,9.04e-6,0.32,0.748,147.653,2ODyPDLYurS87cxXL1QPt9,140960,4,A# major
0.278,0.0643,A#,-19.142,major,0.034,0.958,0.0015,0.068,0.0551,130.267,1atDDBTMunTF3Vwn2jpTLV,192760,4,A# major
0.768,0.766,F,-9.401,major,0.0345,0.47,1.22e-4,0.1,0.948,116.55,0d9jOYh3RnlvTnUqqSoPjc,139285,4,F major
0.525,0.45,F,-11.549,major,0.0281,0.363,5.77e-5,0.0948,0.613,78.095,3QWAuUWZhvAJT1IbO99a17,144640,4,F major
0.571,0.324,G,-5.474,major,0.0272,0.665,0,0.196,0.422,98.217,4rGQjF1Qp19DRWxUyPZ70i,208933,3,G major
0.88,0.304,A#,-15.066,minor,0.255,0.166,1.59e-4,0.0621,0.925,120.037,0WH7ONCwVE1pCRK7ePbwky,144760,4,A# minor
0.35,0.633,E,-10.546,major,0.0361,0.12,3.68e-4,0.554,0.846,143.388,555kzdgFvGMqHyGnZWx6nH,133800,4,E major
0.463,0.549,F,-10.906,minor,0.0529,0.449,0,0.219,0.714,67.813,1Lz49Im6GxKNy2a3Sb11j5,128093,4,F minor
0.432,0.477,D,-8.91,major,0.0252,0.745,1.69e-6,0.105,0.83,80.066,6eprxDqMeoGsiRregpDiXh,131800,4,D major
0.295,0.365,C,-8.91,major,0.0296,0.836,0,0.0699,0.268,77.951,5uDYQi3C4MCh3BxLv4Tthr,148760,4,C major
0.516,0.508,F,-10.779,major,0.027,0.126,1.13e-5,0.243,0.592,113.882,7hdbQNigA52n0aeHMXlPJI,171080,4,F major
0.473,0.352,G#,-10.141,major,0.0281,0.564,0,0.0662,0.535,106.798,4kVdh89jfzuU3TB1L7Lbt7,144267,3,G# major
0.286,0.435,E,-10.722,minor,0.0413,0.568,0,0.334,0.5,163.665,11G1VikY1wkfUAJ9DFEu2I,170800,3,E minor
0.344,0.241,G,-14.215,major,0.0399,0.792,0,0.12,0.583,78.673,1mQWmSG2Iv3ej9z0VaxgnM,133627,4,G major
0.746,0.55,D,-7.554,major,0.062,0.621,1.27e-6,0.0136,0.736,102.669,7LhTdrE7S8gTgRJtNqqtoz,155080,4,D major
0.47,0.523,F#,-8.209,major,0.0307,0.624,0,0.289,0.431,80.931,0YXMtZLoppUEzN31jDjDd6,143467,4,F# major
0.806,0.61,F#,-9.024,major,0.0352,0.697,0,0.0404,0.927,119.574,4UPksaq5ggU0ZchtmHhtDd,140640,4,F# major
0.615,0.321,C#,-12.331,major,0.0305,0.518,0,0.312,0.558,109.517,0TnjIn3gZTXEfFlUlptjd9,135907,4,C# major
0.77,0.742,C,-8.47,minor,0.0411,0.634,0.764,0.105,0.931,144.15,53Q3aE08sDF0QjtX5WIpiR,161533,4,C minor
0.447,0.446,C#,-15.513,major,0.0474,0.579,1.24e-6,0.705,0.607,137.057,0uIejQW0d2IthMQgy3Ftj1,290667,4,C# major
0.694,0.584,C,-12.511,major,0.0341,0.397,0,0.104,0.78,121.858,7MxxQcORHdFT4fbjLzmqDO,152867,4,C major
0.707,0.407,C#,-10.154,major,0.049,0.645,0,0.126,0.801,72.324,1OQy02jxSB11mUo2eatFc6,128067,4,C# major
0.707,0.685,C,-5.174,major,0.0862,0.308,0,0.241,0.819,169.345,7pVspLv7aM9ZoEvD8SXfTX,157107,4,C major
0.461,0.68,C,-10.699,major,0.0446,0.621,7.74e-6,0.906,0.957,149.771,5TrvERHRtiRshORTehfs0w,164600,4,C major
0.374,0.467,A#,-10.692,major,0.0368,0.49,0.0169,0.397,0.325,117.216,7J2E2jSESl3eiVimFosuBI,155280,4,A# major
0.372,0.255,F,-15.765,major,0.0311,0.673,0.0436,0.14,0.243,103.921,03qJBd9NTLiAQMDUOSYR6l,156680,3,F major
0.417,0.179,D,-16.966,major,0.0287,0.859,0.156,0.0922,0.431,85.578,5XgCk8ikjfTx02rgxNULEy,186440,4,D major
